tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,2019,2021,2022,2023
17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1
17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1
17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1
17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1,aligned_cluster_1
17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019000902,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001206,Champaign — Senior-heavy residential area,Champaign,61822.0,Older age profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0,aligned_cluster_0
