year,tract_geoid,display_area_label,primary_place,primary_zip,landmark_context_note,tract_number,tract_name_canonical,is_stable_all_4_years,cluster_id,cluster_label,display_area_label_geo,primary_place_geo,primary_zip_geo,landmark_context_note_geo,aligned_cluster_id,aligned_cluster_label
2019,17019000200,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,2.0,Census Tract 2,1,0,cluster_0,Champaign — Higher economic stress area,Champaign,61820.0,Higher poverty rate; more very-low-income households.,0,aligned_cluster_0
2019,17019000301,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.01,Census Tract 3.01,1,1,cluster_1,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,1,aligned_cluster_1
2019,17019000302,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,3.02,Census Tract 3.02,1,1,cluster_1,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,1,aligned_cluster_1
2019,17019000401,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.01,Census Tract 4.01,1,1,cluster_1,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,1,aligned_cluster_1
2019,17019000402,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,4.02,Census Tract 4.02,1,1,cluster_1,Champaign — Student-dense area,Champaign,61820.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,1,aligned_cluster_1
2019,17019000500,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,5.0,Census Tract 5,1,0,cluster_0,Champaign — Mixed residential area,Champaign,61820.0,More households with children.,0,aligned_cluster_0
2019,17019000700,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,7.0,Census Tract 7,1,0,cluster_0,Champaign — Mixed residential area,Champaign,61820.0,General tract context note not flagged by the current rule set.,0,aligned_cluster_0
2019,17019000800,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,8.0,Census Tract 8,1,0,cluster_0,Champaign — Mixed residential area,Champaign,61822.0,Renter-heavy housing profile.,0,aligned_cluster_0
2019,17019000901,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,9.01,Census Tract 9.01,1,0,cluster_0,Champaign — Family-oriented residential area,Champaign,61821.0,More very-low-income households; more households with children.,0,aligned_cluster_0
2019,17019000902,Census Tract 9.02 — Family-oriented residential area,,61822.0,More households with children.,9.02,Census Tract 9.02,1,0,cluster_0,Census Tract 9.02 — Family-oriented residential area,,61822.0,More households with children.,0,aligned_cluster_0
2019,17019001000,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,10.0,Census Tract 10,1,0,cluster_0,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,0,aligned_cluster_0
2019,17019001100,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,11.0,Census Tract 11,1,0,cluster_0,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,0,aligned_cluster_0
2019,17019001201,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,12.01,Census Tract 12.01,1,0,cluster_0,Champaign — Mixed residential area,Champaign,61821.0,General tract context note not flagged by the current rule set.,0,aligned_cluster_0
2019,17019001203,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,12.03,Census Tract 12.03,1,0,cluster_0,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,0,aligned_cluster_0
2019,17019001204,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,12.04,Census Tract 12.04,1,0,cluster_0,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children; older age profile.,0,aligned_cluster_0
2019,17019001205,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,12.05,Census Tract 12.05,1,0,cluster_0,Champaign — Family-oriented residential area,Champaign,61822.0,More households with children.,0,aligned_cluster_0
2019,17019001206,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,12.06,Census Tract 12.06,1,0,cluster_0,Census Tract 12.06 — Senior-heavy residential area,,61822.0,Older age profile.,0,aligned_cluster_0
2019,17019001301,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,13.01,Census Tract 13.01,1,0,cluster_0,Champaign — Senior-heavy residential area,Champaign,61821.0,Older age profile.,0,aligned_cluster_0
2019,17019001302,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,13.02,Census Tract 13.02,1,0,cluster_0,Savoy — Senior-heavy residential area,Savoy,61822.0,Older age profile.,0,aligned_cluster_0
2019,17019001400,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,14.0,Census Tract 14,1,0,cluster_0,Census Tract 14 — Family-oriented residential area,,61874.0,Higher student concentration; more households with children.,0,aligned_cluster_0
2019,17019005300,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,53.0,Census Tract 53,1,1,cluster_1,Urbana — Student-dense area,Urbana,61801.0,Higher student concentration; renter-heavy housing profile; higher poverty rate; more very-low-income households.,1,aligned_cluster_1
2019,17019005401,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,54.01,Census Tract 54.01,1,0,cluster_0,Census Tract 54.01 — Mixed residential area,,61802.0,Renter-heavy housing profile; more very-low-income households.,0,aligned_cluster_0
2019,17019005402,Census Tract 54.02 — Senior-heavy residential area,,61802.0,Older age profile.,54.02,Census Tract 54.02,1,0,cluster_0,Census Tract 54.02 — Senior-heavy residential area,,61802.0,Older age profile.,0,aligned_cluster_0
2019,17019005500,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,55.0,Census Tract 55,1,0,cluster_0,Urbana — Senior-heavy residential area,Urbana,61802.0,Older age profile.,0,aligned_cluster_0
